alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,fuser_grad_norm,fuser_input_effective_rank,fuser_input_pairwise_cosine_mean,fuser_linear_output_singular_value_top1,fuser_linear_output_singular_value_top2,fuser_linear_output_singular_value_top3,fuser_output_effective_rank,fuser_output_pairwise_cosine_mean,fuser_short_query_pairwise_cosine_mean,layer_index,loss,memory_long_diversity_loss,memory_long_diversity_weight,memory_long_effective_rank,memory_long_l2,memory_long_singular_value_top1,memory_long_singular_value_top2,memory_long_singular_value_top3,memory_long_slot_energy_cv,memory_long_slot_energy_histogram_max,memory_long_slot_energy_histogram_min,memory_long_slot_norm_histogram_max,memory_long_slot_norm_histogram_min,memory_long_slot_norm_max,memory_long_slot_norm_mean,memory_long_slot_norm_std,memory_long_slot_variance_cv,memory_long_slots,memory_short_diversity_loss,memory_short_diversity_weight,memory_short_effective_rank,memory_short_l2,memory_short_pairwise_cosine_mean,memory_short_slot_norm_max,memory_short_slot_norm_mean,memory_short_slot_norm_std,memory_short_slots,pilot_fuser_short_slots,pilot_memory_path_variant,pilot_projector_token_source,pilot_reader_context_mode,pilot_reader_num_queries,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,reader_argmax_mass_mean,reader_argmax_mass_std,reader_attention_diversity_loss,reader_attention_diversity_weight,reader_attention_entropy_max,reader_attention_entropy_mean,reader_attention_entropy_min,reader_attention_pairwise_cosine_mean,reader_base_query_norm_mean,reader_base_query_pairwise_cosine_mean,reader_conditioned_query_norm_mean,reader_conditioned_query_pairwise_cosine_mean,reader_context_overwrite_ratio,reader_context_shift_norm_mean,reader_grad_norm,reader_num_queries,reader_qk_logit_mean,reader_qk_logit_pairwise_cosine_mean,reader_qk_logit_range,reader_qk_logit_std,reader_query_to_slot_top1_agreement_rate,reader_query_to_slot_top2_coverage_fraction,reader_readout_effective_rank,reader_readout_pairwise_cosine_mean,reader_slot_count,reader_slot_coverage_fraction,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_basis_orthogonality_loss,writer_slot_basis_orthogonality_weight,writer_slot_basis_pairwise_cosine_mean,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,1.1750352382659912,0.9996140003204346,31.53348731994629,28.398235321044922,26.238170623779297,3.9853131771087646,0.012923479080200195,0.0,,,,,,117.85441589355469,117.77210235595703,1.6652367115020752,1.665236473083496,0.002188774611998636,1742.240966796875,1731.498779296875,41.74016189575195,41.61128616333008,41.74016189575195,41.66780471801758,0.04558967426419258,0.0021889366952575267,8.0,,,,55.926544189453125,0.012923479080200195,30.468914031982422,27.905807495117188,1.7917859554290771,4.0,4.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,53.011234283447266,,13.379383087158203,11.731528282165527,1.6972864866256714,4.0,,,0.12504267692565918,5.0098742576665245e-06,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,0.7699737548828125,-0.0010731182992458344,0.7699737548828125,-0.0010731182992458344,0.0,0.0,,4.0,-0.0015968999359756708,-0.31400901079177856,0.009570138528943062,0.003634269814938307,0.5,0.5,1.1750352382659912,0.9996140003204346,8.0,1.0,snapshot_aggregate,0,phase2-selected,,6.0,96.11082458496094,39.239051818847656,39.23708724975586,0.0015105197671800852,,,117.85441589355469,,,,41.74016189575195,41.66780471801758,0.04558967426419258,
,,,I_real,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.604530334472656,13.02459716796875,11.668452262878418,1.7755846977233887,,,,,,4.0,2204.4541015625,12.71831226348877,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.775859832763672,12.94886589050293,11.778894424438477,1.608528733253479,,,,,,4.0,101.91165161132812,25.370290756225586,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.657554626464844,12.870898246765137,11.710389137268066,1.6672773361206055,,,,,,4.0,60.719398498535156,45.73695755004883,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.734167098999023,13.379383087158203,11.73251724243164,1.7845872640609741,,,,,,4.0,41.344852447509766,51.72182083129883,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_real,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.763349533081055,13.078925132751465,11.767387390136719,1.6405240297317505,,,,,,4.0,50.62206268310547,148.11805725097656,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,1.1750363111495972,0.9996141195297241,31.534320831298828,28.39729881286621,26.239355087280273,3.9853105545043945,0.01290864497423172,0.0,,,,,,117.85662078857422,117.77432250976562,1.6652365922927856,1.665236473083496,0.0021105287424661033,1743.144287109375,1730.7886962890625,41.7509765625,41.60274887084961,41.7509765625,41.66858673095703,0.0439629927277565,0.0021097199999620345,8.0,,,,55.926822662353516,0.01290864497423172,30.469707489013672,27.90589141845703,1.7926310300827026,4.0,4.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,53.01319122314453,,13.380053520202637,11.73192024230957,1.697654128074646,4.0,,,0.12504178285598755,1.587551560078282e-05,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,0.7699737548828125,-0.0010731182992458344,0.7699737548828125,-0.0010731182992458344,0.0,0.0,,4.0,-0.0016382160829380155,-0.3004664182662964,0.009890487417578697,0.0036783383693546057,0.25,0.75,1.1750363111495972,0.9996141195297241,8.0,1.0,snapshot_aggregate,0,phase2-selected,,6.0,96.11085510253906,39.23865509033203,39.23708724975586,0.0016125013353303075,,,117.85662078857422,,,,41.7509765625,41.66858673095703,0.0439629927277565,
,,,I_shuffle,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.60627555847168,13.023146629333496,11.668867111206055,1.7759246826171875,,,,,,4.0,2204.45458984375,12.717548370361328,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.77729606628418,12.947427749633789,11.779277801513672,1.6087944507598877,,,,,,4.0,101.91400146484375,25.370765686035156,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.65788459777832,12.869452476501465,11.710753440856934,1.6676366329193115,,,,,,4.0,60.720794677734375,45.73202896118164,,,,,,,,,,,,,,,,,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,,,,
