arm_alias,competitor_prefix_attention_mass,example_id,gold_label,gold_prefix_attention_mass,layer_index,mean_prefix_attention_mass,predicted_label,prefix_l2,prefix_tokens,step,suite
I_real,0.00024338356161024421,226458,SUPPORTS,0.00014678991283290088,0,0.00028897164641724277,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.010007822886109352,226458,SUPPORTS,0.007383048068732023,7,0.008074238120267788,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.02434380352497101,226458,SUPPORTS,0.024566005915403366,14,0.021534328038493793,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.0038240253925323486,226458,SUPPORTS,0.004298596642911434,21,0.003468794903407494,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.07124137878417969,226458,SUPPORTS,0.05825936049222946,27,0.07114879041910172,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.00028169516008347273,78516,SUPPORTS,0.00016103050438687205,0,0.0003405851506007214,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.009795863181352615,78516,SUPPORTS,0.007405845448374748,7,0.008058656627933184,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.025533035397529602,78516,SUPPORTS,0.025838088244199753,14,0.022669923802216847,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.005821898113936186,78516,SUPPORTS,0.006399239879101515,21,0.005213520489633083,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.07204501330852509,78516,SUPPORTS,0.06563365459442139,27,0.07282629609107971,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.0004064115637447685,28788,SUPPORTS,0.0003481850144453347,0,0.0005042088935927799,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.008137626573443413,28788,SUPPORTS,0.00598510168492794,7,0.006703049875795841,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.020818326622247696,28788,SUPPORTS,0.020940644666552544,14,0.01872508352001508,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.003165610134601593,28788,SUPPORTS,0.0036778103094547987,21,0.0028345074194173017,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.08230241388082504,28788,SUPPORTS,0.07659745216369629,27,0.08331163972616196,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.0004056344914715737,117767,SUPPORTS,0.0003460494917817414,0,0.0004916643471612284,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.007910299114882946,117767,SUPPORTS,0.005783879663795233,7,0.006304992518077294,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.015203799121081829,117767,SUPPORTS,0.015752460807561874,14,0.01388059463351965,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.002341508399695158,117767,SUPPORTS,0.0028020120225846767,21,0.0021488723965982595,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.07691065967082977,117767,SUPPORTS,0.06824833154678345,27,0.07774972418944041,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.00019876801525242627,54789,REFUTES,0.00034424307523295283,0,0.0004001536581199616,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.006762049626559019,54789,REFUTES,0.00948113389313221,7,0.007667916982124249,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.022580264136195183,54789,REFUTES,0.022113818675279617,14,0.019941867950061958,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.004232843406498432,54789,REFUTES,0.0037375870160758495,21,0.003379022004082799,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.07109272480010986,54789,REFUTES,0.07808685302734375,27,0.0793829361597697,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.00021006310998927802,56960,REFUTES,0.0003209073329344392,0,0.0003873482880104954,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.006615738850086927,56960,REFUTES,0.009176011197268963,7,0.007430667833735545,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.021877234801650047,56960,REFUTES,0.02165016159415245,14,0.019154759123921394,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.0038066445849835873,56960,REFUTES,0.0031958266627043486,21,0.0029611244487265744,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.06576498597860336,56960,REFUTES,0.07542705535888672,27,0.07591441025336583,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.0003863705205731094,155125,REFUTES,0.000559263105969876,0,0.0006218708003871143,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.008802587166428566,155125,REFUTES,0.011102885007858276,7,0.00916989054530859,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.02329670637845993,155125,REFUTES,0.022984933108091354,14,0.020743824541568756,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.004299814812839031,155125,REFUTES,0.003850184381008148,21,0.0034234152796367803,SUPPORTS,9.668313980102539,8,0,phase2-selected
I_real,0.06737017631530762,155125,REFUTES,0.07418187707662582,27,0.0754627138376236,SUPPORTS,9.668313980102539,8,0,phase2-selected
