arm_alias,competitor_prefix_attention_mass,example_id,gold_label,gold_prefix_attention_mass,mean_prefix_attention_mass,predicted_label,prefix_l2,prefix_tokens,step,suite
I_real,9.272868919651955e-05,226458,SUPPORTS,7.174669008236378e-05,0.00010424653495041032,SUPPORTS,89.39225006103516,8,0,raw8
I_real,0.00020782463252544403,78516,SUPPORTS,0.00012141249317210168,0.00021759017545264214,SUPPORTS,89.39225006103516,8,0,raw8
I_real,0.0001392010599374771,28788,SUPPORTS,8.620461449027061e-05,0.00013521205012996992,SUPPORTS,89.39225006103516,8,0,raw8
I_real,0.00010278107220074162,117767,SUPPORTS,5.927744132350199e-05,0.00010149512308998965,SUPPORTS,89.39225006103516,8,0,raw8
I_real,6.116593431215733e-05,54789,REFUTES,8.31950455904007e-05,8.879190863808617e-05,SUPPORTS,89.39225006103516,8,0,raw8
I_real,5.639662776957266e-05,56960,REFUTES,0.00013266845780890435,0.0001463635308027733,SUPPORTS,89.39225006103516,8,0,raw8
I_real,5.1141563744749874e-05,155125,REFUTES,6.900386506458744e-05,8.294778429747869e-05,SUPPORTS,89.39225006103516,8,0,raw8
I_real,8.160978177329525e-05,84675,REFUTES,9.728347504278645e-05,0.00013975028317266455,SUPPORTS,89.39225006103516,8,0,raw8
I_real,7.703823212068528e-05,64471,NOT_ENOUGH_INFO,0.00020896286878269166,0.00013653034208497653,SUPPORTS,89.39225006103516,8,0,raw8
I_real,6.865632894914597e-05,23835,NOT_ENOUGH_INFO,0.00018568958330433816,0.0001154031342593953,SUPPORTS,89.39225006103516,8,0,raw8
I_real,0.00011201482266187668,132244,NOT_ENOUGH_INFO,0.00023844497627578676,0.000161263063394775,SUPPORTS,89.39225006103516,8,0,raw8
I_real,9.905671322485432e-05,39959,NOT_ENOUGH_INFO,0.00020990055054426193,0.0001410963038021388,SUPPORTS,89.39225006103516,8,0,raw8
I_shuffle,1.5438738046213984e-05,226458,SUPPORTS,8.754015652812086e-06,3.5243743695900775e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,0.00014651163655798882,78516,SUPPORTS,7.553212344646454e-05,0.0002733577227142329,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,2.1729894797317684e-05,28788,SUPPORTS,1.6260897609754466e-05,3.263974880004147e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,1.7152986401924863e-05,117767,SUPPORTS,1.115802297135815e-05,2.6933366219357897e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,5.012142992200097e-06,54789,REFUTES,8.448587323073298e-06,2.3999835169282353e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,2.2331776563078165e-05,56960,REFUTES,4.103704122826457e-05,5.866766150575131e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,7.702833499934059e-06,155125,REFUTES,1.0125047992914915e-05,2.76486810738182e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,1.6647760276100598e-05,84675,REFUTES,2.871634205803275e-05,0.00015332073174552838,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,1.4731447663507424e-05,64471,NOT_ENOUGH_INFO,7.67605088185519e-05,3.647582161647733e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,1.694989623501897e-05,23835,NOT_ENOUGH_INFO,0.00012240212527103722,5.555912503041327e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,1.2632575817406178e-05,132244,NOT_ENOUGH_INFO,5.592006345978007e-05,2.769281309156213e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_shuffle,1.4821125660091639e-05,39959,NOT_ENOUGH_INFO,8.452434849459678e-05,3.8463607779704034e-05,SUPPORTS,88.0356216430664,8,0,raw8
I_zero,0.001889462349936366,226458,SUPPORTS,0.002129209693521261,0.0017727270799999435,SUPPORTS,0.0,8,0,raw8
I_zero,0.0073038144037127495,78516,SUPPORTS,0.007966245524585247,0.0066084666177630424,SUPPORTS,0.0,8,0,raw8
I_zero,0.003526548622176051,28788,SUPPORTS,0.0037011108361184597,0.0031375323111812272,SUPPORTS,0.0,8,0,raw8
I_zero,0.0032637915574014187,117767,SUPPORTS,0.003378838300704956,0.002954495915522178,SUPPORTS,0.0,8,0,raw8
I_zero,0.0036671559792011976,54789,REFUTES,0.003387888427823782,0.0030390343939264617,SUPPORTS,0.0,8,0,raw8
I_zero,0.003106537042185664,56960,REFUTES,0.003211816307157278,0.0027828929790606103,SUPPORTS,0.0,8,0,raw8
I_zero,0.006073395721614361,155125,REFUTES,0.005002161022275686,0.004704395309090614,SUPPORTS,0.0,8,0,raw8
I_zero,0.007717162370681763,84675,REFUTES,0.006831656210124493,0.006317810155451298,SUPPORTS,0.0,8,0,raw8
I_zero,0.0066912174224853516,64471,NOT_ENOUGH_INFO,0.004303823225200176,0.005657242611050606,SUPPORTS,0.0,8,0,raw8
I_zero,0.00843053124845028,23835,NOT_ENOUGH_INFO,0.005279978271573782,0.007106589308629434,SUPPORTS,0.0,8,0,raw8
I_zero,0.013356953859329224,132244,NOT_ENOUGH_INFO,0.007828092202544212,0.01064169593155384,SUPPORTS,0.0,8,0,raw8
I_zero,0.008922656998038292,39959,NOT_ENOUGH_INFO,0.005191110074520111,0.0073966725418965025,SUPPORTS,0.0,8,0,raw8
I_real,0.0008720805635675788,226458,SUPPORTS,0.0005359104834496975,0.0007817159251620372,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0016522854566574097,78516,SUPPORTS,0.0007909067207947373,0.0010449576657265425,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0010640423279255629,28788,SUPPORTS,0.0005265770596452057,0.0006639232548574606,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0009322166442871094,117767,SUPPORTS,0.0005595912807621062,0.0006397858281464627,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0021400884725153446,54789,REFUTES,0.0012775801587849855,0.0016602824519698818,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0031895628198981285,56960,REFUTES,0.0034431617241352797,0.0028921811220546565,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0013509588316082954,155125,REFUTES,0.0009379058028571308,0.0008914084367764493,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0005384788964875042,84675,REFUTES,0.001344411401078105,0.0008128348078268269,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.00043565663509070873,64471,NOT_ENOUGH_INFO,0.0007719850982539356,0.0008065231571284434,SUPPORTS,135.76454162597656,8,8,raw8
I_real,0.0024951647501438856,23835,NOT_ENOUGH_INFO,0.0017810616409406066,0.002855380104544262,SUPPORTS,135.76454162597656,8,8,raw8
