alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,fuser_grad_norm,layer_index,loss,memory_long_effective_rank,memory_long_l2,memory_long_slot_norm_max,memory_long_slot_norm_mean,memory_long_slot_norm_std,memory_long_slots,memory_short_effective_rank,memory_short_l2,memory_short_pairwise_cosine_mean,memory_short_slot_norm_max,memory_short_slot_norm_mean,memory_short_slot_norm_std,memory_short_slots,pilot_fuser_short_slots,pilot_memory_path_variant,pilot_projector_token_source,pilot_reader_context_mode,pilot_reader_num_queries,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,reader_attention_entropy_max,reader_attention_entropy_mean,reader_attention_entropy_min,reader_attention_pairwise_cosine_mean,reader_grad_norm,reader_num_queries,reader_slot_count,reader_slot_coverage_fraction,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,,,,117.72467803955078,41.62196350097656,41.62196350097656,0.0,8.0,,110.8506248349049,0.9995584654026344,39.19161887247054,39.191615495525426,3.2258833415221115e-06,8.0,8.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,17.350335355664864,,2.8465615725908124,2.742872926055408,0.04997000660075516,8.0,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,,4.0,8.0,0.5163934426229508,snapshot_aggregate,0,phase2-selected,,6.0,96.0983657836914,39.233707427978516,39.23198699951172,0.0013412327971309423,,,117.72467803955078,41.62196350097656,41.62196350097656,0.0,
,,,I_real,,0,,,,,,,,,,,,,,,,,,,,,,7.588100785114726,2.7156825065612793,2.682728802571531,0.0196768584981805,,,,,,8.0,3116.9556704661886,17.40868390192751,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,7,,,,,,,,,,,,,,,,,,,,,,7.9507341384887695,2.8465615725908124,2.810941391303891,0.020475612953305244,,,,,,8.0,146.69095223848936,32.23663301936916,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,14,,,,,,,,,,,,,,,,,,,,,,7.651606090733262,2.740901114510708,2.7051852140270296,0.02016331261542977,,,,,,8.0,79.97690319624104,58.922930482958186,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,21,,,,,,,,,,,,,,,,,,,,,,7.784068084153973,2.785653833483086,2.752014355581315,0.020215663295544563,,,,,,8.0,63.559946028912655,66.57995555439933,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,27,,,,,,,,,,,,,,,,,,,,,,7.81651095874974,2.798480186306062,2.7634948902442806,0.02008472309737909,,,,,,8.0,65.37046388719902,195.2491942859087,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,,,117.72469329833984,41.62196731567383,41.62196731567383,1.9073486328125e-06,8.0,,110.85054453865426,0.9994929696692795,39.19158960561283,39.19158635373975,3.1631309952228816e-06,8.0,8.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,16.06230760793217,,2.6091908822294143,2.5393718578776374,0.038788397842254796,8.0,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,,4.0,8.0,0.4139344262295082,snapshot_aggregate,0,phase2-selected,,6.0,96.09864044189453,39.23369216918945,39.23210906982422,0.001507753157056868,,,117.72469329833984,41.62196731567383,41.62196731567383,1.9073486328125e-06,
,,,I_shuffle,,0,,,,,,,,,,,,,,,,,,,,,,7.02220157717095,2.5110803158556827,2.4826648235321045,0.017558376136861863,,,,,,8.0,3116.8469398373463,18.33327190211562,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,7,,,,,,,,,,,,,,,,,,,,,,7.301701788042412,2.6082632815251583,2.5814777788568715,0.017735376160164348,,,,,,8.0,144.95403602475025,30.77795575876705,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,14,,,,,,,,,,,,,,,,,,,,,,7.158140581162249,2.55854597638865,2.5307333703900947,0.017556877959458553,,,,,,8.0,92.16051308053439,63.21096939337058,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
