example_id,margin_gap,real_margin,shuffle_margin
106308,1.490234375,1.552734375,0.0625
112137,7.453125,6.453125,-1.0
114158,-7.6357421875,-5.5107421875,2.125
115920,0.9652633666992188,1.4340133666992188,0.46875
118434,4.8203125,3.0234375,-1.796875
119227,-0.74639892578125,0.62860107421875,1.375
121548,-5.489768981933594,-6.271018981933594,-0.78125
124578,-2.7109375,-3.3984375,-0.6875
128004,-0.5122795104980469,-0.5747795104980469,-0.0625
130048,1.1181888580322266,3.9619388580322266,2.84375
131105,2.75,3.90625,1.15625
132874,-3.4765625,-4.7890625,-1.3125
143242,3.28167724609375,3.59417724609375,0.3125
144391,-5.4296875,-4.8359375,0.59375
145707,-0.3835296630859375,1.4289703369140625,1.8125
155125,2.8984375,3.9921875,1.09375
168637,7.492189407348633,4.820314407348633,-2.671875
173055,4.0048828125,3.3486328125,-0.65625
174986,2.760242462158203,2.853992462158203,0.09375
179831,2.7890625,3.5703125,0.78125
1799,1.7813396453857422,3.125089645385742,1.34375
183417,-5.554689407348633,-5.304689407348633,0.25
184285,-2.125,-1.84375,0.28125
185999,-4.679685592651367,-4.804685592651367,-0.125
19068,-5.554689407348633,-4.835939407348633,0.71875
1933,-2.1640625,-3.4140625,-1.25
195124,-5.1328125,-5.4140625,-0.28125
195202,7.99609375,7.21484375,-0.78125
198544,2.8215293884277344,3.5090293884277344,0.6875
204560,0.7060222625732422,1.8935222625732422,1.1875
204575,0.45848655700683594,1.552236557006836,1.09375
21190,5.0234375,4.3671875,-0.65625
219200,1.8815250396728516,3.4127750396728516,1.53125
219675,1.90625,1.9375,0.03125
221137,-8.187501907348633,-2.75,5.437501907348633
225863,-2.1328125,-4.1640625,-2.03125
22726,4.027797698974609,6.527797698974609,2.5
3588,2.375,2.6875,0.3125
39150,1.2890625,2.8203125,1.53125
39811,3.515901565551758,3.734651565551758,0.21875
44397,3.098539352416992,3.161039352416992,0.0625
45394,4.953126907348633,3.453125,-1.5000019073486328
46582,3.6015625,3.8203125,0.21875
52287,2.213491439819336,2.682241439819336,0.46875
54789,1.9491825103759766,3.6991825103759766,1.75
55835,3.453123092651367,3.828125,0.3750019073486328
56960,3.5743637084960938,3.6681137084960938,0.09375
58396,-3.4609375,-2.1171875,1.34375
59603,-2.252805709838867,0.09094429016113281,2.34375
59890,-2.19140625,-2.81640625,-0.625
60241,3.3394393920898438,3.6519393920898438,0.3125
6032,1.11279296875,1.48779296875,0.375
61136,-4.077800750732422,-1.6715507507324219,2.40625
75288,2.1234283447265625,1.9671783447265625,-0.15625
75311,1.2107810974121094,2.5545310974121094,1.34375
75778,-4.5546875,-3.7421875,0.8125
80212,-1.2500667572021484,-0.40631675720214844,0.84375
80650,0.4605274200439453,1.5230274200439453,1.0625
82580,2.7734375,2.7109375,-0.0625
8298,3.632303237915039,3.491678237915039,-0.140625
84675,-2.2114124298095703,-0.6489124298095703,1.5625
85093,-0.8686923980712891,0.7250576019287109,1.59375
94252,3.2761573791503906,4.276157379150391,1.0
97937,9.546876907348633,7.765626907348633,-1.78125
