example_id,margin_gap,real_margin,zero_margin
106308,17.8984375,1.552734375,-16.345703125
112137,22.306640625,6.453125,-15.853515625
114158,-24.7294921875,-5.5107421875,19.21875
115920,15.733818054199219,1.4340133666992188,-14.2998046875
118434,16.537109375,3.0234375,-13.513671875
119227,14.82391357421875,0.62860107421875,-14.1953125
121548,-19.618675231933594,-6.271018981933594,13.34765625
124578,-16.69140625,-3.3984375,13.29296875
128004,12.409595489501953,-0.5747795104980469,-12.984375
130048,18.899438858032227,3.9619388580322266,-14.9375
131105,19.65625,3.90625,-15.75
132874,-17.841064453125,-4.7890625,13.052001953125
143242,21.56683349609375,3.59417724609375,-17.97265625
144391,-20.859375,-4.8359375,16.0234375
145707,15.569595336914062,1.4289703369140625,-14.140625
155125,19.2353515625,3.9921875,-15.2431640625
168637,22.781251907348633,4.820314407348633,-17.9609375
173055,16.8251953125,3.3486328125,-13.4765625
174986,19.713367462158203,2.853992462158203,-16.859375
179831,18.10546875,3.5703125,-14.53515625
1799,16.621244430541992,3.125089645385742,-13.49615478515625
183417,-20.667970657348633,-5.304689407348633,15.36328125
184285,-15.5748291015625,-1.84375,13.7310791015625
185999,-19.597654342651367,-4.804685592651367,14.79296875
19068,-19.312501907348633,-4.835939407348633,14.4765625
1933,-17.515625,-3.4140625,14.1015625
195124,-19.999515533447266,-5.4140625,14.585453033447266
195202,22.5943603515625,7.21484375,-15.3795166015625
198544,18.116451263427734,3.5090293884277344,-14.607421875
204560,15.891569137573242,1.8935222625732422,-13.998046875
204575,14.567861557006836,1.552236557006836,-13.015625
21190,21.5224609375,4.3671875,-17.1552734375
219200,18.22332191467285,3.4127750396728516,-14.810546875
219675,16.9423828125,1.9375,-15.0048828125
221137,-18.44140625,-2.75,15.69140625
225863,-18.724609375,-4.1640625,14.560546875
22726,22.035608291625977,6.527797698974609,-15.507810592651367
3588,18.18890380859375,2.6875,-15.50140380859375
39150,16.8046875,2.8203125,-13.984375
39811,17.418245315551758,3.734651565551758,-13.68359375
44397,18.987211227416992,3.161039352416992,-15.826171875
45394,16.0234375,3.453125,-12.5703125
46582,19.79052734375,3.8203125,-15.97021484375
52287,17.832632064819336,2.682241439819336,-15.150390625
54789,20.105432510375977,3.6991825103759766,-16.40625
55835,21.30078125,3.828125,-17.47265625
56960,19.640769958496094,3.6681137084960938,-15.97265625
58396,-17.171875,-2.1171875,15.0546875
59603,16.403444290161133,0.09094429016113281,-16.3125
59890,-17.46728515625,-2.81640625,14.65087890625
60241,19.187095642089844,3.6519393920898438,-15.53515625
6032,13.94873046875,1.48779296875,-12.4609375
61136,10.898761749267578,-1.6715507507324219,-12.5703125
75288,18.162490844726562,1.9671783447265625,-16.1953125
75311,15.95492172241211,2.5545310974121094,-13.400390625
75778,-18.7744140625,-3.7421875,15.0322265625
80212,16.14055824279785,-0.40631675720214844,-16.546875
80650,13.784746170043945,1.5230274200439453,-12.26171875
82580,17.009765625,2.7109375,-14.298828125
8298,18.68699073791504,3.491678237915039,-15.1953125
84675,14.523942947387695,-0.6489124298095703,-15.172855377197266
85093,17.02583885192871,0.7250576019287109,-16.30078125
94252,18.46365737915039,4.276157379150391,-14.1875
97937,23.085939407348633,7.765626907348633,-15.3203125
