alignment_examples,bucket,content_alignment_rate,examples,margin_band,mean_delta_branch,mean_delta_candidate_total,mean_delta_content,mean_delta_shared,population,shared_effect_bucket,weighted_content_alignment
80,ALL,0.3375,100,ALL,0.0005977630615234375,0.0005980587005615235,2.956390380859375e-07,-0.0002198028564453125,all,ALL,2.6822090017237384e-07
80,ALL,0.3375,80,far_negative,0.00043697357177734374,0.000437241792678833,2.682209014892578e-07,-0.0005902826786041259,all,ALL,2.6822090017237384e-07
0,ALL,0.0,20,non_negative,0.0012409210205078125,0.0012413263320922852,4.0531158447265624e-07,0.0012621164321899414,all,ALL,0.0
80,ALL,0.3375,100,ALL,0.0005977630615234375,0.0005980587005615235,2.956390380859375e-07,-0.0002198028564453125,all,shared_neutral,2.6822090017237384e-07
80,ALL,0.3375,80,far_negative,0.00043697357177734374,0.000437241792678833,2.682209014892578e-07,-0.0005902826786041259,all,shared_neutral,2.6822090017237384e-07
0,ALL,0.0,20,non_negative,0.0012409210205078125,0.0012413263320922852,4.0531158447265624e-07,0.0012621164321899414,all,shared_neutral,0.0
0,base_correct_control,0.0,20,ALL,0.0012409210205078125,0.0012413263320922852,4.0531158447265624e-07,0.0012621164321899414,all,ALL,0.0
0,base_correct_control,0.0,20,non_negative,0.0012409210205078125,0.0012413263320922852,4.0531158447265624e-07,0.0012621164321899414,all,ALL,0.0
0,base_correct_control,0.0,20,ALL,0.0012409210205078125,0.0012413263320922852,4.0531158447265624e-07,0.0012621164321899414,all,shared_neutral,0.0
0,base_correct_control,0.0,20,non_negative,0.0012409210205078125,0.0012413263320922852,4.0531158447265624e-07,0.0012621164321899414,all,shared_neutral,0.0
40,improving_but_unflipped,0.35,40,ALL,0.00016521215438842775,0.00016542673110961915,2.1457672119140626e-07,0.005002832412719727,all,ALL,2.1457671953216972e-07
40,improving_but_unflipped,0.35,40,far_negative,0.00016521215438842775,0.00016542673110961915,2.1457672119140626e-07,0.005002832412719727,all,ALL,2.1457671953216972e-07
40,improving_but_unflipped,0.35,40,ALL,0.00016521215438842775,0.00016542673110961915,2.1457672119140626e-07,0.005002832412719727,all,shared_neutral,2.1457671953216972e-07
40,improving_but_unflipped,0.35,40,far_negative,0.00016521215438842775,0.00016542673110961915,2.1457672119140626e-07,0.005002832412719727,all,shared_neutral,2.1457671953216972e-07
20,stubborn_wrong_other,0.3,20,ALL,0.0014222383499145508,0.0014227867126464845,5.483627319335937e-07,-0.007091784477233886,all,ALL,5.483627306484647e-07
20,stubborn_wrong_other,0.3,20,far_negative,0.0014222383499145508,0.0014227867126464845,5.483627319335937e-07,-0.007091784477233886,all,ALL,5.483627306484647e-07
20,stubborn_wrong_other,0.3,20,ALL,0.0014222383499145508,0.0014227867126464845,5.483627319335937e-07,-0.007091784477233886,all,shared_neutral,5.483627306484647e-07
20,stubborn_wrong_other,0.3,20,far_negative,0.0014222383499145508,0.0014227867126464845,5.483627319335937e-07,-0.007091784477233886,all,shared_neutral,5.483627306484647e-07
