alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,layer_index,loss,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,,structured_support_set,,,,,,65.00129699707031,,10.514363288879395,10.276042938232422,0.1795378029346466,8.0,,,snapshot_aggregate,0,phase2-selected,,6.0,96.09494018554688,39.23228073120117,39.2306022644043,0.001296027097851038,,,117.73040008544922,41.62397766113281,41.62397384643555,1.3486991292666062e-06,
,,,I_real,0,,,,29.272642135620117,10.349554061889648,10.349553108215332,5.840038852511498e-07,,,,,,8.0,3116.882080078125,21.728416442871094,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,28.709665298461914,10.150084495544434,10.150084495544434,4.76837158203125e-07,,,,,,8.0,149.99070739746094,42.510047912597656,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,28.289722442626953,10.00168228149414,10.00168228149414,5.840038852511498e-07,,,,,,8.0,97.99698638916016,78.74329376220703,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,29.73933219909668,10.514363288879395,10.514362335205078,6.743495646333031e-07,,,,,,8.0,60.28038024902344,75.60037231445312,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,29.31466293334961,10.36452865600586,10.364527702331543,3.3717478231665154e-07,,,,,,8.0,78.27092742919922,220.1636505126953,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,structured_support_set,,,,,,65.00128936767578,,10.514361381530762,10.276040077209473,0.17953772842884064,8.0,,,snapshot_aggregate,0,phase2-selected,,6.0,96.0954360961914,39.23244094848633,39.23080062866211,0.001495519420132041,,,117.73040008544922,41.62397766113281,41.62397766113281,2.6973982585332124e-06,
,,,I_shuffle,0,,,,29.272640228271484,10.349553108215332,10.349553108215332,8.920806635615008e-07,,,,,,8.0,3116.882080078125,21.728412628173828,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,28.709665298461914,10.150083541870117,10.150083541870117,8.259061701210157e-07,,,,,,8.0,149.99070739746094,42.510047912597656,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,28.289722442626953,10.001681327819824,10.001680374145508,7.539457556049456e-07,,,,,,8.0,97.99698638916016,78.74329376220703,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,29.73933219909668,10.514361381530762,10.514360427856445,5.840038852511498e-07,,,,,,8.0,60.28038024902344,75.60037231445312,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,29.31466293334961,10.364526748657227,10.36452579498291,4.76837158203125e-07,,,,,,8.0,78.27092742919922,220.1636505126953,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,1.033820390701294,,0.18989966809749603,0.16223151981830597,0.020014354959130287,8.0,,,snapshot_aggregate,0,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.36570510268211365,0.12929028272628784,0.12929028272628784,0.0,,,,,,8.0,3113.552001953125,29.15438461303711,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,7,,,,0.47786945104599,0.16894391179084778,0.16894389688968658,1.4901161193847656e-08,,,,,,8.0,156.9075469970703,73.5356674194336,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,14,,,,0.43622106313705444,0.15422731637954712,0.15422731637954712,0.0,,,,,,8.0,163.94216918945312,125.2828140258789,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,21,,,,0.47741416096687317,0.1687963455915451,0.1687963306903839,1.4901161193847656e-08,,,,,,8.0,97.11265563964844,113.81671905517578,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_zero,27,,,,0.5370827913284302,0.18989966809749603,0.18989966809749603,0.0,,,,,,8.0,125.32305908203125,221.6431884765625,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,,structured_support_set,,,,,,65.05069732666016,,10.511619567871094,10.283838272094727,0.18015773594379425,8.0,,,snapshot_aggregate,2,phase2-selected,,6.0,96.09561157226562,39.23256301879883,39.230873107910156,0.0013092324370518327,,,117.73116302490234,41.624244689941406,41.62424087524414,2.336015541004599e-06,
,,,I_real,0,,,,29.336793899536133,10.372889518737793,10.372888565063477,8.259061701210157e-07,,,,,,8.0,3116.206787109375,21.76306915283203,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,7,,,,28.700075149536133,10.146050453186035,10.146049499511719,7.539457556049456e-07,,,,,,8.0,150.06138610839844,42.5628776550293,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,14,,,,28.31231117248535,10.010665893554688,10.010665893554688,9.5367431640625e-07,,,,,,8.0,97.379150390625,78.29975128173828,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,21,,,,29.730941772460938,10.511619567871094,10.511618614196777,5.840038852511498e-07,,,,,,8.0,60.06392288208008,75.66065979003906,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_real,27,,,,29.354440689086914,10.377971649169922,10.377970695495605,8.259061701210157e-07,,,,,,8.0,78.27456665039062,220.18959045410156,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,structured_support_set,,,,,,64.62226104736328,,10.429986953735352,10.216222763061523,0.17284364998340607,8.0,,,snapshot_aggregate,2,phase2-selected,,6.0,96.09663391113281,39.232906341552734,39.23128128051758,0.0015148174716159701,,,117.73152160644531,41.6243782043457,41.62437438964844,1.3486991292666062e-06,
,,,I_shuffle,0,,,,29.16951560974121,10.313249588012695,10.313247680664062,1.3058723880021716e-06,,,,,,8.0,3117.67626953125,21.68402099609375,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,7,,,,28.475543975830078,10.066863059997559,10.066862106323242,6.743495646333031e-07,,,,,,8.0,150.01327514648438,42.35888671875,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,14,,,,28.182504653930664,9.963858604431152,9.963857650756836,7.539457556049456e-07,,,,,,8.0,96.93037414550781,77.99774169921875,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,21,,,,29.501434326171875,10.429986953735352,10.429986000061035,8.259061701210157e-07,,,,,,8.0,60.0018424987793,75.64031219482422,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,27,,,,29.147815704345703,10.307157516479492,10.307156562805176,6.743495646333031e-07,,,,,,8.0,77.9371337890625,219.82192993164062,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
,,,I_zero,,,pooled_block,,,,,,1.033820390701294,,0.18989966809749603,0.16223151981830597,0.020014354959130287,8.0,,,snapshot_aggregate,2,phase2-selected,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
,,,I_zero,0,,,,0.36570510268211365,0.12929028272628784,0.12929028272628784,0.0,,,,,,8.0,3113.552001953125,29.15438461303711,snapshot_layer,2,phase2-selected,,,,,,,,,,,,,
