bucket,example_count,mean_margin_gap_real_vs_shuffle,mean_margin_gap_real_vs_zero,step,suite
overall,61,0.01877157805395908,0.42971748602194865,0,phase2-selected
A_wrong,43,-0.01682640785394713,1.4148110678029615,0,phase2-selected
SUPPORTS,18,0.10381121105617946,-1.9235616260104709,0,phase2-selected
REFUTES,20,0.11162047386169434,3.3508838176727296,0,phase2-selected
NOT_ENOUGH_INFO,23,-0.12851934847624405,-0.26873045382292376,0,phase2-selected
overall,61,0.21483094574975187,1.1080215329029521,2,phase2-selected
A_wrong,43,0.1271935174631518,1.8196388954340026,2,phase2-selected
SUPPORTS,18,0.42418702443440753,-0.5919532775878906,2,phase2-selected
REFUTES,20,0.31869144439697267,2.10162296295166,2,phase2-selected
NOT_ENOUGH_INFO,23,-0.03932641900104025,1.5744353584621265,2,phase2-selected
overall,61,-0.08821968954117572,0.994829490536549,4,phase2-selected
A_wrong,43,-0.0890855123830396,1.5438822369242824,4,phase2-selected
SUPPORTS,18,-0.08615133497450086,-0.31679651472303605,4,phase2-selected
REFUTES,20,0.027719879150390626,0.1404787063598633,4,phase2-selected
NOT_ENOUGH_INFO,23,-0.1906554180642833,2.7642331330672554,4,phase2-selected
overall,61,0.3323658958810275,1.6686460620067158,8,phase2-selected
A_wrong,43,0.34439073606979015,1.5365727003230605,8,phase2-selected
SUPPORTS,18,0.30363988876342773,1.9841546482510037,8,phase2-selected
REFUTES,20,-0.14695453643798828,-1.6582833290100099,8,phase2-selected
NOT_ENOUGH_INFO,23,0.7716474947722062,4.314708378003991,8,phase2-selected
overall,61,0.662797990392466,1.7172591412653688,12,phase2-selected
A_wrong,43,1.0278438301973565,0.940375705097997,12,phase2-selected
SUPPORTS,18,-0.20925596025254992,3.573147349887424,12,phase2-selected
REFUTES,20,-0.07557840347290039,-3.5924418449401854,12,phase2-selected
NOT_ENOUGH_INFO,23,1.987341424693232,4.881956183392068,12,phase2-selected
overall,61,0.7939627287817783,1.3944199984190895,16,phase2-selected
A_wrong,43,1.7085032795750819,-0.09359080292457758,16,phase2-selected
SUPPORTS,18,-1.3907730314466689,4.949112468295628,16,phase2-selected
REFUTES,20,0.6778657913208008,-5.470457649230957,16,phase2-selected
NOT_ENOUGH_INFO,23,2.6047097911005435,4.581945585167927,16,phase2-selected
overall,61,0.6518926151463242,-0.34136625196112963,24,phase2-selected
A_wrong,43,1.93673271356627,-4.152543267538381,24,phase2-selected
SUPPORTS,18,-2.4174476199679904,8.763112174140083,24,phase2-selected
REFUTES,20,2.4774922370910644,-9.325538635253906,24,phase2-selected
NOT_ENOUGH_INFO,23,1.466507040936014,0.34571357395337976,24,phase2-selected
overall,61,-0.40086299083271965,-2.5097917494226674,32,phase2-selected
A_wrong,43,0.38501677402230194,-8.719036213187284,32,phase2-selected
SUPPORTS,18,-2.2782424290974936,12.323403358459473,32,phase2-selected
REFUTES,20,2.1287795066833497,-13.280280828475952,32,phase2-selected
NOT_ENOUGH_INFO,23,-1.1312986456829568,-4.752736547718877,32,phase2-selected
