example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,-4.281775443280329,I_real,0,phase2-selected
61,0,I_shuffle,0,0,0.11867520066558337,I_real,0,phase2-selected
61,0,I_zero,0,0,-3.807157016191326,I_real,0,phase2-selected
61,0,A,0,0,-4.308891491811783,I_real,2,phase2-selected
61,0,I_shuffle,0,0,0.06200225235985928,I_real,2,phase2-selected
61,0,I_zero,0,0,-3.8342730647227805,I_real,2,phase2-selected
61,0,A,0,0,-4.185196329335698,I_real,4,phase2-selected
61,0,I_shuffle,0,0,0.013214549080270236,I_real,4,phase2-selected
61,0,I_zero,0,0,-3.710577902246694,I_real,4,phase2-selected
61,0,A,0,0,-4.236425548303322,I_real,8,phase2-selected
61,0,I_shuffle,0,0,0.10304681590346039,I_real,8,phase2-selected
61,0,I_zero,0,0,-3.7618071212143196,I_real,8,phase2-selected
61,0,A,0,0,-4.230386100831579,I_real,12,phase2-selected
61,0,I_shuffle,0,0,0.07707602078797388,I_real,12,phase2-selected
61,0,I_zero,0,0,-3.7557676737425756,I_real,12,phase2-selected
61,0,A,0,0,-4.1353228209448645,I_real,16,phase2-selected
61,0,I_shuffle,0,0,0.14321896287261462,I_real,16,phase2-selected
61,0,I_zero,0,0,-3.6607043938558608,I_real,16,phase2-selected
