example_id,margin_gap,real_margin,shuffle_margin
106308,1.859375,-0.0078125,-1.8671875
112137,1.0937519073486328,-2.640625,-3.734376907348633
114158,-2.987232208251953,2.465892791748047,5.453125
115920,-5.3212890625,-2.6953125,2.6259765625
118434,-0.013671875,-0.935546875,-0.921875
119227,0.18359375,-1.53125,-1.71484375
121548,-2.70556640625,-2.2265625,0.47900390625
124578,-0.81640625,-1.8828125,-1.06640625
128004,1.6337356567382812,1.4579544067382812,-0.17578125
130048,-0.9179649353027344,0.8125038146972656,1.73046875
131105,-3.046876907348633,-1.6875,1.3593769073486328
132874,-0.81640625,0.23046875,1.046875
143242,0.72265625,-0.95703125,-1.6796875
144391,4.079099655151367,3.1083984375,-0.9707012176513672
145707,-1.7289390563964844,-1.9916343688964844,-0.2626953125
155125,3.55859375,2.984375,-0.57421875
168637,0.310546875,-3.109375,-3.419921875
173055,-7.8037109375,-2.96875,4.8349609375
174986,-2.6640625,-1.578125,1.0859375
179831,-4.7210693359375,-1.2109375,3.5101318359375
1799,0.765625,0.203125,-0.5625
183417,2.111572265625,1.859375,-0.252197265625
184285,0.3046855926513672,1.2109375,0.9062519073486328
185999,-0.96875,2.3984375,3.3671875
19068,0.384765625,2.486328125,2.1015625
1933,0.984375,1.9765625,0.9921875
195124,1.24609375,1.16796875,-0.078125
195202,-2.904296875,0.6875,3.591796875
198544,0.0625,-1.1953125,-1.2578125
204560,-1.9921875,-1.44140625,0.55078125
204575,-3.5234375,-1.5546875,1.96875
21190,-8.482421875,-5.3203125,3.162109375
219200,-1.109375,-0.625,0.484375
219675,-3.7051010131835938,-1.4433822631835938,2.26171875
221137,1.453125,6.078125,4.625
225863,3.033205032348633,0.25,-2.783205032348633
22726,-2.671875,1.453125,4.125
3588,0.00634765625,0.609375,0.60302734375
39150,1.060546875,-0.5625,-1.623046875
39811,-2.142230987548828,-1.5113716125488281,0.630859375
44397,-5.9375,-2.96875,2.96875
45394,0.0625,-0.3359375,-0.3984375
46582,-4.280271530151367,-2.77734375,1.5029277801513672
52287,-1.9501934051513672,-1.21875,0.7314434051513672
54789,1.263671875,1.388671875,0.125
55835,-2.171875,0.3984375,2.5703125
56960,0.7216796875,-1.0009765625,-1.72265625
58396,2.1164474487304688,0.9016036987304688,-1.21484375
59603,-0.375,0.3828125,0.7578125
59890,2.3671836853027344,0.9375,-1.4296836853027344
60241,-1.55078125,-1.22265625,0.328125
6032,-2.0810546875,-0.5078125,1.5732421875
61136,-1.3936958312988281,-1.4718208312988281,-0.078125
75288,-1.7685546875,-2.224609375,-0.4560546875
75311,-3.9873046875,-2.8623046875,1.125
75778,0.8828125,0.265625,-0.6171875
80212,-0.5242347717285156,-1.4031410217285156,-0.87890625
80650,-3.8906288146972656,-2.7500038146972656,1.140625
82580,-7.015625,-3.2734375,3.7421875
8298,0.341796875,-0.828125,-1.169921875
84675,-5.070316314697266,-2.9375,2.1328163146972656
85093,-0.01220703125,-0.70751953125,-0.6953125
94252,2.974609375,1.849609375,-1.125
97937,-1.6171875,-2.546875,-0.9296875
