arm_alias,prefix_l2,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,step,suite
I_real,84.53825378417969,29.88878631591797,29.888782501220703,2.1324806311895372e-06,8.0,0,raw8
I_shuffle,87.94857788085938,31.094528198242188,31.094528198242188,0.0,8.0,0,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,0,raw8
I_real,4349.365234375,1537.7333984375,1537.7333984375,8.63167442730628e-05,8.0,8,raw8
I_shuffle,4564.81201171875,1613.904541015625,1613.9044189453125,0.00010571598977549002,8.0,8,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,8,raw8
I_real,5718.5576171875,2021.8157958984375,2021.815673828125,8.63167442730628e-05,8.0,16,raw8
I_shuffle,6371.9775390625,2252.833984375,2252.833740234375,0.0001726334885461256,8.0,16,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,16,raw8
I_real,6303.37646484375,2228.580078125,2228.579833984375,0.00014950499462429434,8.0,24,raw8
I_shuffle,7191.31689453125,2542.513916015625,2542.513671875,0.0001726334885461256,8.0,24,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,24,raw8
I_real,6563.41162109375,2320.51611328125,2320.515869140625,0.00022837264987174422,8.0,32,raw8
I_shuffle,7572.9345703125,2677.4375,2677.4375,0.0,8.0,32,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,32,raw8
I_real,6723.09228515625,2376.971923828125,2376.9716796875,0.0001220703125,8.0,48,raw8
I_shuffle,7823.04736328125,2765.86572265625,2765.865478515625,0.00019301011343486607,8.0,48,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,48,raw8
I_real,7001.35693359375,2475.353515625,2475.353515625,0.0,8.0,64,raw8
I_shuffle,3628.381103515625,1282.8267822265625,1282.8267822265625,0.00011418632493587211,8.0,64,raw8
I_zero,0.0,0.0,0.0,0.0,8.0,64,raw8
I_real,86.6644515991211,30.6405029296875,30.6405029296875,1.5078915112098912e-06,8.0,0,triad6
I_shuffle,86.78546142578125,30.683292388916016,30.683290481567383,1.7841613271230017e-06,8.0,0,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,0,triad6
I_real,3562.5869140625,1259.5653076171875,1259.5653076171875,7.475249731214717e-05,8.0,8,triad6
I_shuffle,4841.96337890625,1711.8927001953125,1711.892578125,0.0001220703125,8.0,8,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,8,triad6
I_real,5682.6259765625,2009.111572265625,2009.1114501953125,0.0001220703125,8.0,16,triad6
I_shuffle,6876.98046875,2431.37939453125,2431.379150390625,0.00021143197955098003,8.0,16,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,16,triad6
I_real,6693.8310546875,2366.626708984375,2366.626708984375,0.00022837264987174422,8.0,24,triad6
I_shuffle,7827.9208984375,2767.58740234375,2767.58740234375,0.0001220703125,8.0,24,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,24,triad6
I_real,7097.97705078125,2509.513916015625,2509.513916015625,0.0,8.0,32,triad6
I_shuffle,8247.470703125,2915.92138671875,2915.921630859375,0.000244140625,8.0,32,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,32,triad6
I_real,9361.9990234375,3309.96728515625,3309.967041015625,0.00022837264987174422,8.0,48,triad6
I_shuffle,8520.6259765625,3012.496826171875,3012.496337890625,0.0002862802648451179,8.0,48,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,48,triad6
I_real,11397.9052734375,4029.767822265625,4029.767822265625,0.0,8.0,64,triad6
I_shuffle,10540.5634765625,3726.651611328125,3726.65185546875,0.0004401307669468224,8.0,64,triad6
I_zero,0.0,0.0,0.0,0.0,8.0,64,triad6
