alignment_aux_active,alignment_aux_loss,alignment_aux_mode,arm_alias,fuser_grad_norm,layer_index,loss,memory_long_diversity_loss,memory_long_diversity_weight,memory_long_effective_rank,memory_long_l2,memory_long_slot_norm_max,memory_long_slot_norm_mean,memory_long_slot_norm_std,memory_long_slots,memory_short_diversity_loss,memory_short_diversity_weight,memory_short_effective_rank,memory_short_l2,memory_short_pairwise_cosine_mean,memory_short_slot_norm_max,memory_short_slot_norm_mean,memory_short_slot_norm_std,memory_short_slots,pilot_fuser_short_slots,pilot_memory_path_variant,pilot_projector_token_source,pilot_reader_context_mode,pilot_reader_num_queries,pilot_support_encoder_mode,pilot_trainable_variant,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,reader_attention_diversity_loss,reader_attention_diversity_weight,reader_attention_entropy_max,reader_attention_entropy_mean,reader_attention_entropy_min,reader_attention_pairwise_cosine_mean,reader_grad_norm,reader_num_queries,reader_slot_count,reader_slot_coverage_fraction,row_type,step,suite,support_encoder_grad_norm,support_item_count,support_item_hidden_l2,support_item_hidden_norm_max,support_item_hidden_norm_mean,support_item_hidden_norm_std,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std,writer_to_projector_grad_ratio
,,,I_real,,,,,,,117.72622680664062,41.62251663208008,41.62251663208008,0.0,8.0,,,,110.85061708043833,0.999537392717893,39.19161587074155,39.19161318169265,3.2918505223547146e-06,8.0,8.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,12.533896039743892,,2.0443678078104237,1.9815334316159858,0.03129456598372733,8.0,,,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0,,4.0,8.0,0.4405737704918033,snapshot_aggregate,0,phase2-selected,,6.0,96.0995101928711,39.23421096801758,39.23246383666992,0.0013708641054108739,,,117.72622680664062,41.62251663208008,41.62251663208008,0.0,
,,,I_real,,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.525772798256796,1.9752735114488444,1.9536281804569433,0.010769107745441257,,,,,,8.0,3116.617671778945,19.803962082159323,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,7,,,,,,,,,,,,,,,,,,,,,,,,,,5.500033589660144,1.9657964002890664,1.9445276924821198,0.010744923069218143,,,,,,8.0,147.7569284908107,41.65402596895812,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,14,,,,,,,,,,,,,,,,,,,,,,,,,,5.718798481050085,2.04432379026882,2.0218688112790466,0.011364637431306918,,,,,,8.0,90.00205693479444,69.31751138655866,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,21,,,,,,,,,,,,,,,,,,,,,,,,,,5.632832503709637,2.0145417569113557,1.9914790997739698,0.011831942640367101,,,,,,8.0,65.06924200839684,73.84049987792969,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_real,,27,,,,,,,,,,,,,,,,,,,,,,,,,,5.646087169647217,2.0175495382215156,1.996163438578121,0.011152848479200582,,,,,,8.0,86.7735749541736,195.78003129802767,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,,,,,,117.72625732421875,41.62251281738281,41.62251281738281,1.3486991292666062e-06,8.0,,,,110.8506094510438,0.9995407129897446,39.19161274394051,39.19160955460345,3.246117680870067e-06,8.0,8.0,two_level,short_slots,prompt_summary,4.0,structured_support_set,,,,,,12.904466738466356,,2.075455335320019,2.0402706509730857,0.02060879037150594,8.0,,,,,2.079441547393799,2.079441547393799,2.079441547393799,1.0000000019542505,,4.0,8.0,0.48770491803278687,snapshot_aggregate,0,phase2-selected,,6.0,96.09972381591797,39.234130859375,39.23255157470703,0.0015306604327633977,,,117.72625732421875,41.62251281738281,41.62251281738281,1.3486991292666062e-06,
,,,I_shuffle,,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.774348946868396,2.0591470354893167,2.0414829859968093,0.015460297908084314,,,,,,8.0,3117.9358350409834,17.654241092869494,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,7,,,,,,,,,,,,,,,,,,,,,,,,,,5.786253288143971,2.0640616866408803,2.0456974838600783,0.015904389214930963,,,,,,8.0,146.84892222920402,35.27974288189998,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
,,,I_shuffle,,14,,,,,,,,,,,,,,,,,,,,,,,,,,5.720895524884834,2.041135033623117,2.0225852395667405,0.015784952117771398,,,,,,8.0,83.44610145443775,68.09983625568327,,,,,,,,,,,snapshot_layer,0,phase2-selected,,,,,,,,,,,,,
