alignment_examples,bucket,content_alignment_rate,examples,margin_band,mean_delta_branch,mean_delta_candidate_total,mean_delta_content,mean_delta_shared,population,shared_effect_bucket,weighted_content_alignment
16,ALL,0.625,64,ALL,-0.001806974780265591,-0.001807018216823053,-4.343655746197328e-08,0.004588716548141747,all,ALL,6.478140382561664e-08
16,ALL,0.625,16,near_threshold,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,ALL,6.478140382561664e-08
0,ALL,0.0,48,non_negative,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,all,ALL,0.0
0,ALL,0.0,48,ALL,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,all,shared_helped,0.0
0,ALL,0.0,48,non_negative,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,all,shared_helped,0.0
16,ALL,0.625,16,ALL,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,shared_hurt,6.478140382561664e-08
16,ALL,0.625,16,near_threshold,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,shared_hurt,6.478140382561664e-08
16,base_correct_control,0.625,16,ALL,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,ALL,6.478140382561664e-08
16,base_correct_control,0.625,16,near_threshold,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,ALL,6.478140382561664e-08
16,base_correct_control,0.625,16,ALL,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,shared_hurt,6.478140382561664e-08
16,base_correct_control,0.625,16,near_threshold,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,all,shared_hurt,6.478140382561664e-08
0,near_threshold_bad,0.0,32,ALL,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,all,ALL,0.0
0,near_threshold_bad,0.0,32,non_negative,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,all,ALL,0.0
0,near_threshold_bad,0.0,32,ALL,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,all,shared_helped,0.0
0,near_threshold_bad,0.0,32,non_negative,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,all,shared_helped,0.0
0,stubborn_wrong,0.0,16,ALL,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,all,ALL,0.0
0,stubborn_wrong,0.0,16,non_negative,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,all,ALL,0.0
0,stubborn_wrong,0.0,16,ALL,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,all,shared_helped,0.0
0,stubborn_wrong,0.0,16,non_negative,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,all,shared_helped,0.0
0,ALL,0.0,48,ALL,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,base_wrong,ALL,0.0
0,ALL,0.0,48,non_negative,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,base_wrong,ALL,0.0
0,ALL,0.0,48,ALL,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,base_wrong,shared_helped,0.0
0,ALL,0.0,48,non_negative,-0.0039268352823758805,-0.00392691479161537,-7.950923948859175e-08,0.009042561888539543,base_wrong,shared_helped,0.0
0,near_threshold_bad,0.0,32,ALL,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,base_wrong,ALL,0.0
0,near_threshold_bad,0.0,32,non_negative,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,base_wrong,ALL,0.0
0,near_threshold_bad,0.0,32,ALL,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,base_wrong,shared_helped,0.0
0,near_threshold_bad,0.0,32,non_negative,-0.003968172230088385,-0.003968200286180945,-2.805609256029129e-08,0.009028874707837531,base_wrong,shared_helped,0.0
0,stubborn_wrong,0.0,16,ALL,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,base_wrong,ALL,0.0
0,stubborn_wrong,0.0,16,non_negative,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,base_wrong,ALL,0.0
0,stubborn_wrong,0.0,16,ALL,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,base_wrong,shared_helped,0.0
0,stubborn_wrong,0.0,16,non_negative,-0.003844161386950873,-0.003844343802484218,-1.8241553334519267e-07,0.009069936249943567,base_wrong,shared_helped,0.0
16,ALL,0.625,16,ALL,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,shared_wrong,ALL,6.478140382561664e-08
16,ALL,0.625,16,near_threshold,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,shared_wrong,ALL,6.478140382561664e-08
16,ALL,0.625,16,ALL,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,shared_wrong,shared_hurt,6.478140382561664e-08
16,ALL,0.625,16,near_threshold,0.004552606726065278,0.004552671507553896,6.478148861788213e-08,-0.00877281947305164,shared_wrong,shared_hurt,6.478140382561664e-08
