example_count,flip_count_delta,left_alias,left_correct_to_right_wrong,left_wrong_to_right_correct,mean_margin_gain,right_alias,step,suite
61,0,A,0,0,0.6711565549256372,I_real,0,phase2-selected
61,2,I_shuffle,3,5,-0.37768514039086515,I_real,0,phase2-selected
61,0,I_zero,0,0,-0.23535656538165983,I_real,0,phase2-selected
61,0,A,0,0,-0.9102854259678574,I_real,4,phase2-selected
61,0,I_shuffle,0,0,0.37831925564124935,I_real,4,phase2-selected
61,0,I_zero,0,0,-1.8167985462751546,I_real,4,phase2-selected
61,0,A,0,0,-2.2604936537195424,I_real,8,phase2-selected
61,0,I_shuffle,0,0,0.7333389891952765,I_real,8,phase2-selected
61,0,I_zero,0,0,-3.1670067740268393,I_real,8,phase2-selected
61,0,A,0,0,-2.9610881336399766,I_real,16,phase2-selected
61,0,I_shuffle,0,0,1.2869293494302718,I_real,16,phase2-selected
61,0,I_zero,0,0,-3.8676012539472735,I_real,16,phase2-selected
61,0,A,0,0,-3.8585918770461785,I_real,32,phase2-selected
61,0,I_shuffle,0,0,1.0399845897174271,I_real,32,phase2-selected
61,0,I_zero,0,0,-4.765104997353475,I_real,32,phase2-selected
61,0,A,0,0,-4.090860546612348,I_real,48,phase2-selected
61,0,I_shuffle,0,0,0.9783365804640973,I_real,48,phase2-selected
61,0,I_zero,0,0,-4.997373666919645,I_real,48,phase2-selected
61,2,A,18,20,-1.9098730087280273,I_real,64,phase2-selected
61,0,I_shuffle,0,0,-1.6665329307806296,I_real,64,phase2-selected
61,2,I_zero,18,20,-2.8163861290353243,I_real,64,phase2-selected
61,2,A,18,20,-3.039860545611772,I_real,80,phase2-selected
61,0,I_shuffle,0,0,-1.4415971255693278,I_real,80,phase2-selected
61,2,I_zero,18,20,-3.9463736659190696,I_real,80,phase2-selected
61,2,A,18,20,-3.567301320247963,I_real,96,phase2-selected
61,0,I_shuffle,0,0,-1.8034016343413806,I_real,96,phase2-selected
61,2,I_zero,18,20,-4.47381444055526,I_real,96,phase2-selected
