arm_alias,layer_index,loss,prefix_hidden_l2,prefix_hidden_slot_norm_max,prefix_hidden_slot_norm_mean,prefix_hidden_slot_norm_std,prefix_l2,prefix_projector_grad_norm,prefix_slot_norm_max,prefix_slot_norm_mean,prefix_slot_norm_std,prefix_tokens,projected_k_l2,projected_v_l2,row_type,step,suite,total_grad_norm_pre_clip,writer_grad_norm,writer_memory_l2,writer_slot_norm_max,writer_slot_norm_mean,writer_slot_norm_std
I_real,,,,,,,17.950759887695312,,2.9252841472625732,2.8373005390167236,0.07406100630760193,8.0,,,snapshot_aggregate,0,triad6,,,117.74929809570312,41.63066482543945,41.63066101074219,2.336015541004599e-06
I_real,0,,8.274211883544922,2.9252841472625732,2.925283908843994,2.230201658903752e-07,,,,,,8.0,3122.0048828125,18.709482192993164,snapshot_layer,0,triad6,,,,,,
I_real,7,,7.68239164352417,2.715998888015747,2.715998888015747,8.429369557916289e-08,,,,,,8.0,144.55413818359375,30.93692398071289,snapshot_layer,0,triad6,,,,,,
I_real,14,,7.981329917907715,2.8219923973083496,2.8219923973083496,1.4600097131278744e-07,,,,,,8.0,75.81465148925781,58.84701919555664,snapshot_layer,0,triad6,,,,,,
I_real,21,,8.212662696838379,2.9037647247314453,2.9037647247314453,1.4600097131278744e-07,,,,,,8.0,51.84771728515625,71.08705139160156,snapshot_layer,0,triad6,,,,,,
I_real,27,,7.97491979598999,2.8194642066955566,2.8194639682769775,1.4600097131278744e-07,,,,,,8.0,70.54025268554688,204.85354614257812,snapshot_layer,0,triad6,,,,,,
I_shuffle,,,,,,,6.098040580749512,,0.9767025709152222,0.9641219973564148,0.011116037145256996,8.0,,,snapshot_aggregate,0,triad6,,,117.74927520751953,41.63066101074219,41.63066101074219,0.0
I_shuffle,0,,2.7619309425354004,0.9767025709152222,0.9767025709152222,9.185692562141412e-08,,,,,,8.0,3120.864990234375,16.41845703125,snapshot_layer,0,triad6,,,,,,
I_shuffle,7,,2.7279272079467773,0.9643831253051758,0.964383065700531,7.598131190889035e-08,,,,,,8.0,143.96002197265625,32.06056594848633,snapshot_layer,0,triad6,,,,,,
I_shuffle,14,,2.7581520080566406,0.9751088619232178,0.9751087427139282,7.300048565639372e-08,,,,,,8.0,68.81828308105469,61.41498565673828,snapshot_layer,0,triad6,,,,,,
